07-12-201807-12-201812-12-201816:22:4612-12-201816:45:4400007514
    0000000040550000000040550001           435001003 1   1 CLP     2018120700K1769 BEX20000000000149811909000000000001498119090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005822591001           212801017 1   1 CLP     2018120700K1769 BFW   10000000005789837000000000000057898370000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005822921001           212801014 1   1 CLP     2018120700K1769 BFW   20000000131664825000000000001316648250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005822931001           212801031 1   1 CLP     2018120700K1769 BFW   20000000056377336000000000000563773360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005822951001           212801016 1   1 CLP     2018120700K1769 BFW   20000000029399400000000000000293994000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005823081001           212801016 1   1 CLP     2018120700K1769 BFW   20000000029310081000000000000293100810000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005823151001           412801013 1   1 CLP     2018120700K1769 BFW   20000000077268819000000000000772688190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005823161001           212801017 1   1 CLP     2018120700K1769 BFW   10000000006704734000000000000067047340000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005823211001           212801013 1   1 CLP     2018120700K1769 BFW   20000000079023658000000000000790236580000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005823621001           412801014 1   1 CLP     2018120700K1769 BFW   20000000132244191000000000001322441910000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005823631001           212801017 1   1 CLP     2018120700K1769 BFW   10000000013306474000000000000133064740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005823651001           212801014 1   1 CLP     2018120700K1769 BFW   20000000133701219000000000001337012190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005823741001           212801013 1   1 CLP     2018120700K1769 BFW   20000000080430340000000000000804303400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005823811001           412801013 1   1 CLP     2018120700K1769 BFW   20000000078627346000000000000786273460000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005823821001           212801017 1   1 CLP     2018120700K1769 BFW   10000000010084862000000000000100848620000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005823951001           212801031 1   1 CLP     2018120700K1769 BFW   20000000055878018000000000000558780180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824061001           412801013 1   1 CLP     2018120700K1769 BFW   20000000078044221000000000000780442210000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824071001           212801017 1   1 CLP     2018120700K1769 BFW   10000000010353506000000000000103535060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824161001           212801013 1   1 CLP     2018120700K1769 BFW   20000000079867063000000000000798670630000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824281001           212801014 1   1 CLP     2018120700K1769 BFW   20000000157205073000000000001572050730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824301001           412801013 1   1 CLP     2018120700K1769 BFW   20000000078697561000000000000786975610000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824311001           212801017 1   1 CLP     2018120700K1769 BFW   10000000009998619000000000000099986190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824381001           212801013 1   1 CLP     2018120700K1769 BFW   20000000080595361000000000000805953610000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824391001           212801031 1   1 CLP     2018120700K1769 BFW   20000000055022142000000000000550221420000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824661001           212801014 1   1 CLP     2018120700K1769 BFW   20000000158845659000000000001588456590000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824681001           412801013 1   1 CLP     2018120700K1769 BFW   20000000078106845000000000000781068450000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824691001           212801017 1   1 CLP     2018120700K1769 BFW   10000000004853735000000000000048537350000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824741001           412801013 1   1 CLP     2018120700K1769 BFW   20000000079517718000000000000795177180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824751001           212801017 1   1 CLP     2018120700K1769 BFW   10000000006165073000000000000061650730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824811001           412801013 1   1 CLP     2018120700K1769 BFW   20000000079348248000000000000793482480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824821001           212801017 1   1 CLP     2018120700K1769 BFW   10000000006444907000000000000064449070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824841001           212801013 1   1 CLP     2018120700K1769 BFW   20000000081371371000000000000813713710000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824851001           212801013 1   1 CLP     2018120700K1769 BFW   20000000080860160000000000000808601600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824881001           212801013 1   1 CLP     2018120700K1769 BFW   20000000081123539000000000000811235390000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824921001           212801014 1   1 CLP     2018120700K1769 BFW   20000000158784669000000000001587846690000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824981001           412801013 1   1 CLP     2018120700K1769 BFW   20000000079176042000000000000791760420000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005824991001           212801017 1   1 CLP     2018120700K1769 BFW   10000000004573990000000000000045739900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005825001001           212801013 1   1 CLP     2018120700K1769 BFW   20000000080932841000000000000809328410000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005825221001           212801014 1   1 CLP     2018120700K1769 BFW   20000000137214658000000000001372146580000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005825501001           212801014 1   1 CLP     2018120700K1769 BFW   20000000111696066000000000001116960660000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005826021001           212801016 1   1 CLP     2018120700K1769 BFW   20000000029430503000000000000294305030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005826221001           212801016 1   1 CLP     2018120700K1769 BFW   20000000029617818000000000000296178180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005826241001           212801016 1   1 CLP     2018120700K1769 BFW   20000000029774341000000000000297743410000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005826251001           212801013 1   1 CLP     2018120700K1769 BFW   20000000081266641000000000000812666410000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005826261001           412801013 1   1 CLP     2018120700K1769 BFW   20000000079443830000000000000794438300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005826271001           212801017 1   1 CLP     2018120700K1769 BFW   10000000005455597000000000000054555970000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005826461001           212801031 1   1 CLP     2018120700K1769 BFW   20000000054650039000000000000546500390000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005826821001           212801016 1   1 CLP     2018120700K1769 BFW   20000000029104006000000000000291040060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005826881001           212801013 1   1 CLP     2018120700K1769 BFW   20000000076976311000000000000769763110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005827131001           412801013 1   1 CLP     2018120700K1769 BFW   20000000075456979000000000000754569790000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005827141001           212801017 1   1 CLP     2018120700K1769 BFW   10000000001997929000000000000019979290000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005827271001           212801014 1   1 CLP     2018120700K1769 BFW   20000000160857220000000000001608572200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005827331001           212801014 1   1 CLP     2018120700K1769 BFW   20000000136426252000000000001364262520000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005827341001           212801031 1   1 CLP     2018120700K1769 BFW   20000000055276188000000000000552761880000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005827361001           412801014 1   1 CLP     2018120700K1769 BFW   20000000134348118000000000001343481180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005827371001           212801017 1   1 CLP     2018120700K1769 BFW   10000000002929764000000000000029297640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005828781001           212801014 1   1 CLP     2018120700K1769 BFW   20000000158211418000000000001582114180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005855851001           412801013 1   1 CLP     2018120700K1769 BFW   20000000056234679000000000000562346790000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005855861001           212801017 1   1 CLP     2018120700K1769 BFW   10000000001343770000000000000013437700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005855901001           212801013 1   1 CLP     2018120700K1769 BFW   20000000056574910000000000000565749100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005856231001           212801016 1   1 CLP     2018120700K1769 BFW   20000000036036835000000000000360368350000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005856281001           212801016 1   1 CLP     2018120700K1769 BFW   20000000037311704000000000000373117040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005856351001           412801013 1   1 CLP     2018120700K1769 BFW   20000000055091596000000000000550915960000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005856361001           412801017 1   1 CLP     2018120700K1769 BFW   10000000003105747000000000000031057470000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005856381001           212801013 1   1 CLP     2018120700K1769 BFW   20000000056602038000000000000566020380000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005856651001           212801016 1   1 CLP     2018120700K1769 BFW   20000000021925771000000000000219257710000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005856661001           212801016 1   1 CLP     2018120700K1769 BFW   20000000014615401000000000000146154010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005856671001           212801016 1   1 CLP     2018120700K1769 BFW   20000000036605343000000000000366053430000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005856681001           212801016 1   1 CLP     2018120700K1769 BFW   20000000037893365000000000000378933650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005857351001           412801017 1   1 CLP     2018120700K1769 BFW   10000000007837912000000000000078379120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005857411001           412801017 1   1 CLP     2018120700K1769 BFW   10000000008163807000000000000081638070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005857451001           412801017 1   1 CLP     2018120700K1769 BFW   10000000009313068000000000000093130680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005857841001           212801016 1   1 CLP     2018120700K1769 BFW   20000000037138535000000000000371385350000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005857851001           212801016 1   1 CLP     2018120700K1769 BFW   20000000038376860000000000000383768600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005858271001           212801013 1   1 CLP     2018120700K1769 BFW   20000000055325062000000000000553250620000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005858341001           212801031 1   1 CLP     2018120700K1769 BFW   20000000042008710000000000000420087100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005858351001           212801031 1   1 CLP     2018120700K1769 BFW   20000000045399092000000000000453990920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005858411001           212801014 1   1 CLP     2018120700K1769 BFW   20000000102909546000000000001029095460000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005858421001           212801014 1   1 CLP     2018120700K1769 BFW   20000000102241919000000000001022419190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005858531001           412801017 1   1 CLP     2018120700K1769 BFW   10000000004481611000000000000044816110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005858541001           412801017 1   1 CLP     2018120700K1769 BFW   10000000005119609000000000000051196090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005858611001           412801017 1   1 CLP     2018120700K1769 BFW   10000000006617392000000000000066173920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005858681001           212801016 1   1 CLP     2018120700K1769 BFW   20000000039641151000000000000396411510000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005858691001           212801016 1   1 CLP     2018120700K1769 BFW   20000000037869105000000000000378691050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005858701001           212801031 1   1 CLP     2018120700K1769 BFW   20000000044270074000000000000442700740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005858751001           212801031 1   1 CLP     2018120700K1769 BFW   20000000041852247000000000000418522470000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005858781001           212801014 1   1 CLP     2018120700K1769 BFW   20000000099950191000000000000999501910000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005859581001           212801031 1   1 CLP     2018120700K1769 BFW   20000000040995834000000000000409958340000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005859651001           212801014 1   1 CLP     2018120700K1769 BFW   20000000095037820000000000000950378200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005860481001           212801014 1   1 CLP     2018120700K1769 BFW   20000000101571259000000000001015712590000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005860491001           212801031 1   1 CLP     2018120700K1769 BFW   20000000045990325000000000000459903250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005860501001           212801031 1   1 CLP     2018120700K1769 BFW   20000000043443998000000000000434439980000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005885381001           212801017 1   1 CLP     2018120700K1769 BFW   10000000176796279000000000001767962790000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
    0000000000000000005885611001           212801017 1   1 CLP     2018120700K1769 BFW   10000000095358591000000000000953585910000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                  000000002230                                                                                0000000000000000000000000000                    
